;;FR Base FR Base;FR Base FR Base;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;Consommation (kWh);Index;;;;;;;;;;;;;;
17-03-2025;estimée;;;15;7 239;;;;;;;;;;;;;;
18-03-2025;evt réelle;;;13;7 254;;;;;;;;;;;;;;
19-03-2025;evt réelle;;;13;7 267;;;;;;;;;;;;;;
20-03-2025;evt réelle;;;10;7 280;;;;;;;;;;;;;;
21-03-2025;evt réelle;;;12;7 290;;;;;;;;;;;;;;
22-03-2025;estimée;;;16;7 302;;;;;;;;;;;;;;
23-03-2025;estimée;;;14;7 318;;;;;;;;;;;;;;
24-03-2025;evt réelle;;;11;7 332;;;;;;;;;;;;;;
25-03-2025;evt réelle;;;10;7 343;;;;;;;;;;;;;;
26-03-2025;evt réelle;;;14;7 353;;;;;;;;;;;;;;
27-03-2025;evt réelle;;;13;7 367;;;;;;;;;;;;;;
28-03-2025;evt réelle;;;13;7 380;;;;;;;;;;;;;;
29-03-2025;evt réelle;;;13;7 393;;;;;;;;;;;;;;
30-03-2025;evt réelle;;;13;7 406;;;;;;;;;;;;;;
31-03-2025;evt réelle;;;10;7 419;;;;;;;;;;;;;;
01-04-2025;evt réelle;;;13;7 429;;;;;;;;;;;;;;
02-04-2025;evt réelle;;;12;7 442;;;;;;;;;;;;;;
03-04-2025;evt réelle;;;10;7 454;;;;;;;;;;;;;;
04-04-2025;evt réelle;;;7;7 464;;;;;;;;;;;;;;
05-04-2025;estimée;;;11;7 471;;;;;;;;;;;;;;
06-04-2025;evt réelle;;;11;7 482;;;;;;;;;;;;;;
07-04-2025;evt réelle;;;14;7 493;;;;;;;;;;;;;;
08-04-2025;evt réelle;;;8;7 507;;;;;;;;;;;;;;
09-04-2025;estimée;;;13;7 515;;;;;;;;;;;;;;
10-04-2025;evt réelle;;;9;7 528;;;;;;;;;;;;;;
11-04-2025;evt réelle;;;12;7 537;;;;;;;;;;;;;;
12-04-2025;evt réelle;;;11;7 549;;;;;;;;;;;;;;
13-04-2025;estimée;;;11;7 560;;;;;;;;;;;;;;
14-04-2025;evt réelle;;;10;7 571;;;;;;;;;;;;;;
15-04-2025;evt réelle;;;12;7 581;;;;;;;;;;;;;;
16-04-2025;estimée;;;11;7 593;;;;;;;;;;;;;;
17-04-2025;evt réelle;;;8;7 604;;;;;;;;;;;;;;
18-04-2025;evt réelle;;;12;7 612;;;;;;;;;;;;;;
19-04-2025;estimée;;;12;7 624;;;;;;;;;;;;;;
20-04-2025;evt réelle;;;10;7 636;;;;;;;;;;;;;;
21-04-2025;evt réelle;;;14;7 646;;;;;;;;;;;;;;
22-04-2025;evt réelle;;;6;7 660;;;;;;;;;;;;;;
23-04-2025;evt réelle;;;6;7 666;;;;;;;;;;;;;;
24-04-2025;estimée;;;9;7 672;;;;;;;;;;;;;;
25-04-2025;evt réelle;;;10;7 681;;;;;;;;;;;;;;
26-04-2025;evt réelle;;;8;7 691;;;;;;;;;;;;;;
27-04-2025;estimée;;;13;7 699;;;;;;;;;;;;;;
28-04-2025;evt réelle;;;8;7 712;;;;;;;;;;;;;;
29-04-2025;evt réelle;;;7;7 720;;;;;;;;;;;;;;
30-04-2025;evt réelle;;;12;7 727;;;;;;;;;;;;;;
01-05-2025;evt réelle;;;5;7 739;;;;;;;;;;;;;;
02-05-2025;evt réelle;;;12;7 744;;;;;;;;;;;;;;
03-05-2025;evt réelle;;;9;7 756;;;;;;;;;;;;;;
04-05-2025;evt réelle;;;13;7 765;;;;;;;;;;;;;;
05-05-2025;evt réelle;;;7;7 778;;;;;;;;;;;;;;
06-05-2025;estimée;;;6;7 785;;;;;;;;;;;;;;
07-05-2025;evt réelle;;;6;7 791;;;;;;;;;;;;;;
08-05-2025;evt réelle;;;10;7 797;;;;;;;;;;;;;;
09-05-2025;evt réelle;;;12;7 807;;;;;;;;;;;;;;
10-05-2025;evt réelle;;;10;7 819;;;;;;;;;;;;;;
11-05-2025;evt réelle;;;8;7 829;;;;;;;;;;;;;;
12-05-2025;estimée;;;9;7 837;;;;;;;;;;;;;;
13-05-2025;evt réelle;;;8;7 846;;;;;;;;;;;;;;
14-05-2025;evt réelle;;;10;7 854;;;;;;;;;;;;;;
15-05-2025;evt réelle;;;5;7 864;;;;;;;;;;;;;;
16-05-2025;evt réelle;;;8;7 869;;;;;;;;;;;;;;
17-05-2025;evt réelle;;;12;7 877;;;;;;;;;;;;;;
18-05-2025;estimée;;;8;7 889;;;;;;;;;;;;;;
19-05-2025;evt réelle;;;6;7 897;;;;;;;;;;;;;;
20-05-2025;evt réelle;;;8;7 903;;;;;;;;;;;;;;
21-05-2025;estimée;;;7;7 911;;;;;;;;;;;;;;
22-05-2025;estimée;;;5;7 918;;;;;;;;;;;;;;
23-05-2025;evt réelle;;;7;7 923;;;;;;;;;;;;;;
24-05-2025;estimée;;;8;7 930;;;;;;;;;;;;;;
25-05-2025;evt réelle;;;11;7 938;;;;;;;;;;;;;;
26-05-2025;evt réelle;;;6;7 949;;;;;;;;;;;;;;
27-05-2025;estimée;;;6;7 955;;;;;;;;;;;;;;
28-05-2025;evt réelle;;;3;7 961;;;;;;;;;;;;;;
29-05-2025;estimée;;;8;7 964;;;;;;;;;;;;;;
30-05-2025;evt réelle;;;7;7 972;;;;;;;;;;;;;;
31-05-2025;evt réelle;;;6;7 979;;;;;;;;;;;;;;
01-06-2025;evt réelle;;;2;7 985;;;;;;;;;;;;;;
02-06-2025;evt réelle;;;10;7 987;;;;;;;;;;;;;;
03-06-2025;evt réelle;;;NC;7 997;;;;;;;;;;;;;;
04-06-2025;evt réelle;;;NC;8 002;;;;;;;;;;;;;;
05-06-2025;evt réelle;;;4;8 007;;;;;;;;;;;;;;
06-06-2025;evt réelle;;;4;8 011;;;;;;;;;;;;;;
07-06-2025;evt réelle;;;8;8 015;;;;;;;;;;;;;;
08-06-2025;evt réelle;;;5;8 023;;;;;;;;;;;;;;
09-06-2025;evt réelle;;;6;8 028;;;;;;;;;;;;;;
10-06-2025;evt réelle;;;6;8 034;;;;;;;;;;;;;;
11-06-2025;estimée;;;8;8 040;;;;;;;;;;;;;;
12-06-2025;evt réelle;;;4;8 048;;;;;;;;;;;;;;
13-06-2025;estimée;;;4;8 052;;;;;;;;;;;;;;
14-06-2025;estimée;;;10;8 056;;;;;;;;;;;;;;
15-06-2025;estimée;;;6;8 066;;;;;;;;;;;;;;
16-06-2025;estimée;;;6;8 072;;;;;;;;;;;;;;
17-06-2025;evt réelle;;;9;8 078;;;;;;;;;;;;;;
18-06-2025;evt réelle;;;8;8 087;;;;;;;;;;;;;;
19-06-2025;estimée;;;6;8 095;;;;;;;;;;;;;;
20-06-2025;evt réelle;;;4;8 101;;;;;;;;;;;;;;
